OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount
ORD00001,2025-12-11,C1021,P0184,8,0.05
ORD00002,2025-09-19,C0797,P0135,2,0.00
ORD00003,2024-05-28,C0377,P0152,5,0.00
ORD00004,2025-11-03,C0199,P0131,5,0.05
ORD00005,2025-08-15,C0055,P0232,8,0.15
ORD00006,2023-08-27,C1194,P0180,2,0.00
ORD00007,2025-10-13,C0530,P0037,5,0.00
ORD00008,2024-06-27,C0035,P0210,3,0.10
ORD00009,2025-02-05,C0525,P0039,2,0.15
ORD00010,2024-06-04,C0686,P0126,2,0.10
ORD00011,2023-11-18,C0191,P0200,10,0.00
ORD00012,2025-06-24,C0895,P0131,4,0.10
ORD00013,2024-03-01,C0998,P0119,4,0.10
ORD00014,2025-10-04,C0805,P0087,3,0.00
ORD00015,2023-10-14,C1029,P0162,4,0.00
ORD00016,2023-09-27,C0299,P0069,1,0.00
ORD00017,2025-10-17,C0636,P0050,4,0.00
ORD00018,2024-12-25,C0447,P0160,1,0.00
ORD00019,2025-07-23,C0121,P0188,2,0.00
ORD00020,2025-01-09,C0168,P0222,1,0.10
ORD00021,2024-08-25,C0065,P0163,1,0.20
ORD00022,2025-11-20,C0894,P0147,3,0.00
ORD00023,2025-03-10,C0620,P0137,2,0.10
ORD00024,2025-02-17,C0674,P0142,5,0.05
ORD00025,2023-02-20,C0726,P0120,2,0.05
ORD00026,2025-12-14,C0859,P0178,6,0.00
ORD00027,2025-09-26,C0985,P0199,2,0.05
ORD00028,2024-03-17,C0805,P0089,3,0.05
ORD00029,2025-09-26,C0549,P0012,3,0.10
ORD00030,2025-03-28,C0377,P0221,6,0.00
ORD00031,2023-07-17,C0648,P0074,2,0.05
ORD00032,2024-04-17,C0851,P0094,1,0.10
ORD00033,2024-05-15,C0947,P0110,2,0.15
ORD00034,2025-12-24,C0222,P0177,10,0.05
ORD00035,2025-05-15,C1075,P0033,10,0.00
ORD00036,2025-10-27,C1161,P0158,3,0.15
ORD00037,2025-02-12,C0876,P0096,1,0.00
ORD00038,2025-12-13,C0861,P0019,2,0.00
ORD00039,2024-05-31,C0449,P0210,4,0.00
ORD00040,2023-08-29,C0516,P0068,6,0.10
ORD00041,2023-11-07,C0003,P0024,2,0.00
ORD00042,2025-03-11,C0013,P0194,1,0.00
ORD00043,2025-04-30,C0237,P0024,1,0.05
ORD00044,2025-06-26,C0167,P0131,3,0.10
ORD00045,2025-04-07,C0569,P0067,8,0.00
ORD00046,2025-04-11,C1147,P0032,10,0.00
ORD00047,2024-01-28,C0956,P0205,1,0.00
ORD00048,2023-08-13,C0272,P0041,5,0.10
ORD00049,2024-05-29,C0023,P0062,12,0.00
ORD00050,2025-01-09,C1046,P0025,2,0.00
ORD00051,2024-02-28,C0497,P0153,1,0.00
ORD00052,2023-03-28,C0676,P0082,5,0.05
ORD00053,2024-08-11,C0970,P0059,1,0.05
ORD00054,2023-12-17,C0252,P0206,12,0.05
ORD00055,2024-05-10,C1034,P0092,3,0.10
ORD00056,2025-07-24,C0319,P0092,2,0.00
ORD00057,2025-03-26,C0484,P0093,1,0.10
ORD00058,2023-10-10,C0929,P0089,12,0.00
ORD00059,2025-06-14,C0382,P0201,1,0.05
ORD00060,2024-08-27,C0608,P0079,1,0.15
ORD00061,2024-03-15,C0565,P0130,5,0.10
ORD00062,2023-11-09,C0803,P0201,3,0.05
ORD00063,2023-04-04,C0288,P0203,1,0.10
ORD00064,2025-02-01,C0118,P0171,2,0.00
ORD00065,2025-01-03,C0039,P0132,1,0.00
ORD00066,2024-03-08,C0026,P0186,2,0.05
ORD00067,2025-09-24,C0647,P0123,4,0.00
ORD00068,2023-09-08,C1189,P0021,4,0.00
ORD00069,2025-05-12,C0374,P0204,10,0.05
ORD00070,2025-02-02,C0277,P0138,3,0.00
ORD00071,2025-04-17,C0909,P0004,2,0.00
ORD00072,2025-10-08,C0330,P0158,1,0.00
ORD00073,2024-10-10,C0938,P0062,6,0.05
ORD00074,2025-11-20,C0889,P0219,2,0.15
ORD00075,2023-03-11,C0151,P0161,1,0.00
ORD00076,2025-01-31,C0166,P0167,1,0.00
ORD00077,2025-08-21,C1049,P0239,4,0.00
ORD00078,2025-10-06,C0053,P0210,4,0.00
ORD00079,2023-02-14,C0525,P0124,2,0.05
ORD00080,2023-11-19,C0653,P0124,4,0.00
ORD00081,2023-12-31,C0549,P0200,8,0.00
ORD00082,2024-01-14,C1104,P0203,1,0.00
ORD00083,2025-12-24,C0770,P0019,1,0.10
ORD00084,2024-12-14,C1165,P0010,1,0.10
ORD00085,2023-04-23,C0646,P0087,6,0.05
ORD00086,2025-03-28,C0268,P0038,6,0.00
ORD00087,2024-01-03,C0202,P0002,1,0.00
ORD00088,2025-11-03,C0263,P0137,1,0.15
ORD00089,2024-02-05,C0620,P0215,5,0.00
ORD00090,2025-09-09,C0591,P0157,5,0.05
ORD00091,2024-11-21,C0956,P0208,2,0.05
ORD00092,2023-11-26,C0973,P0094,1,0.00
ORD00093,2025-03-17,C0166,P0084,2,0.00
ORD00094,2024-11-20,C0098,P0161,8,0.00
ORD00095,2025-04-05,C0166,P0059,3,0.15
ORD00096,2024-04-11,C0073,P0023,5,0.15
ORD00097,2023-08-07,C0960,P0091,4,0.00
ORD00098,2024-02-05,C0483,P0081,8,0.10
ORD00099,2023-04-19,C1098,P0162,3,0.05
ORD00100,2023-03-30,C0623,P0046,2,0.00
ORD00101,2025-10-01,C1122,P0129,1,0.15
ORD00102,2024-06-23,C0576,P0218,1,0.00
ORD00103,2025-08-26,C0473,P0094,4,0.10
ORD00104,2023-10-19,C0257,P0083,10,0.05
ORD00105,2023-08-30,C0193,P0024,3,0.05
ORD00106,2023-06-21,C0679,P0114,3,0.00
ORD00107,2024-02-04,C1126,P0035,5,0.05
ORD00108,2025-03-23,C0547,P0176,8,0.10
ORD00109,2023-01-15,C0395,P0199,2,0.10
ORD00110,2025-11-24,C0114,P0146,1,0.15
ORD00111,2025-06-05,C1025,P0061,2,0.10
ORD00112,2024-06-10,C0456,P0070,5,0.05
ORD00113,2023-07-02,C0849,P0024,3,0.00
ORD00114,2023-06-22,C0242,P0089,2,0.05
ORD00115,2024-04-12,C0211,P0136,5,0.20
ORD00116,2024-07-30,C0561,P0212,3,0.05
ORD00117,2023-03-10,C0207,P0221,10,0.10
ORD00118,2023-01-25,C1062,P0233,2,0.10
ORD00119,2025-07-14,C0866,P0064,1,0.05
ORD00120,2024-02-09,C0804,P0116,2,0.00
ORD00121,2025-04-07,C0430,P0184,1,0.15
ORD00122,2024-12-29,C0089,P0146,1,0.00
ORD00123,2023-09-06,C0223,P0214,8,0.10
ORD00124,2025-01-15,C0819,P0073,3,0.20
ORD00125,2024-07-29,C0085,P0062,3,0.00
ORD00126,2024-02-07,C0335,P0101,1,0.00
ORD00127,2023-11-27,C1136,P0145,3,0.05
ORD00128,2025-09-21,C0608,P0098,3,0.00
ORD00129,2023-02-26,C0270,P0070,6,0.15
ORD00130,2025-09-07,C0045,P0218,5,0.00
ORD00131,2023-09-28,C0064,P0197,3,0.10
ORD00132,2025-11-02,C0441,P0012,2,0.00
ORD00133,2023-09-06,C0159,P0177,1,0.00
ORD00134,2024-01-09,C0583,P0193,6,0.00
ORD00135,2024-03-04,C0013,P0144,6,0.05
ORD00136,2023-02-18,C0061,P0124,4,0.00
ORD00137,2025-04-17,C0413,P0007,2,0.00
ORD00138,2025-04-24,C0792,P0084,2,0.00
ORD00139,2025-03-03,C0747,P0157,2,0.05
ORD00140,2024-11-20,C0288,P0141,3,0.15
ORD00141,2025-07-27,C0239,P0222,2,0.00
ORD00142,2024-05-17,C0455,P0157,3,0.00
ORD00143,2023-05-05,C1141,P0203,3,0.15
ORD00144,2025-05-21,C0087,P0115,6,0.15
ORD00145,2025-07-06,C0322,P0104,2,0.00
ORD00146,2024-10-18,C0070,P0142,1,0.05
ORD00147,2024-02-09,C0805,P0030,2,0.05
ORD00148,2025-01-09,C0401,P0103,1,0.00
ORD00149,2025-02-14,C0650,P0097,2,0.00
ORD00150,2024-10-06,C0388,P0228,2,0.00
ORD00151,2024-08-28,C1042,P0136,5,0.05
ORD00152,2025-06-07,C0873,P0133,4,0.00
ORD00153,2024-10-08,C0598,P0198,5,0.00
ORD00154,2025-11-10,C0051,P0027,5,0.00
ORD00155,2024-04-03,C0239,P0236,8,0.05
ORD00156,2025-10-06,C0435,P0100,2,0.10
ORD00157,2024-04-12,C0232,P0215,3,0.00
ORD00158,2024-09-24,C0410,P0020,8,0.00
ORD00159,2025-08-13,C0304,P0204,3,0.10
ORD00160,2025-09-20,C0420,P0097,2,0.05
ORD00161,2025-03-14,C1162,P0003,5,0.00
ORD00162,2025-02-16,C0022,P0044,6,0.00
ORD00163,2025-11-24,C0252,P0189,5,0.10
ORD00164,2023-11-07,C0430,P0029,1,0.05
ORD00165,2025-10-29,C0617,P0101,3,0.00
ORD00166,2024-04-12,C0725,P0203,2,0.00
ORD00167,2025-02-12,C0310,P0113,5,0.00
ORD00168,2025-06-27,C0614,P0170,8,0.00
ORD00169,2024-05-10,C0151,P0108,5,0.10
ORD00170,2023-05-05,C1060,P0137,2,0.00
ORD00171,2025-06-21,C0251,P0038,1,0.10
ORD00172,2024-05-19,C0364,P0046,1,0.05
ORD00173,2024-09-02,C0834,P0156,3,0.00
ORD00174,2025-09-13,C1173,P0118,8,0.05
ORD00175,2023-08-07,C0904,P0147,3,0.05
ORD00176,2025-10-04,C0237,P0224,1,0.00
ORD00177,2023-02-07,C1068,P0110,6,0.00
ORD00178,2023-02-10,C0892,P0160,2,0.00
ORD00179,2023-08-15,C0736,P0148,1,0.10
ORD00180,2025-12-31,C0881,P0130,2,0.10
ORD00181,2025-10-11,C0343,P0043,2,0.10
ORD00182,2024-04-21,C1044,P0156,1,0.00
ORD00183,2023-10-16,C0400,P0006,10,0.05
ORD00184,2025-05-13,C0220,P0230,5,0.00
ORD00185,2023-02-11,C1155,P0030,6,0.15
ORD00186,2025-05-10,C0482,P0177,3,0.10
ORD00187,2024-05-30,C1155,P0093,6,0.00
